"","status","country","project_name","unit_name","capacity_(mw)","technology","start_year","operator","owner","lat","lng","location_accuracy","major_area_(prefecture,_district)","state/province","subregion","region","gem_location_id","gem_unit_id","other_ids_(location)","other_ids_(unit/phase)","url"
"417","operating","Indonesia","Rantau Dedep geothermal power plant","1","91.0","unknown type","2021.0","PT Supreme Energy Rantau Dedap","Tohoku Electric Power CO INC [10%]; PT Supreme Energy [25%]; Marubeni CORP [27%]; ENGIE [37%]","-4.2069","103.3857","exact","","South Sumatra","South-eastern Asia","Asia","L100000700146","G100000700240","WEPP (S&P Global Platts): 1011544","WEPP (S&P Global Platts): 1150346, WEPP (S&P Global Platts): 1313344","https://gem.wiki/Rantau_Dedep_geothermal_power_plant"
"418","pre-construction","Indonesia","Rantau Dedep geothermal power plant","2","134.0","unknown type","2025.0","","","-4.2069","103.3857","approximate","Lahat Regency","South Sumatra","South-eastern Asia","Asia","L100000700146","G100000700364","WEPP (S&P Global Platts): 1011544","WEPP (S&P Global Platts): 1258466","https://gem.wiki/Rantau_Dedep_geothermal_power_plant"
"419","announced","Indonesia","Ratai geothermal power plant","--","55.0","unknown type","","","","-5.6001","105.0738","approximate","","Lampung Province","South-eastern Asia","Asia","L100000700147","G100000700241","","","https://gem.wiki/Ratai_geothermal_power_plant"
"420","pre-construction","Indonesia","Rawa Dano geothermal power plant","1","55.0","unknown type","2026.0","PT Sintesa Banten Geothermal","PT Sintesa Banten Geothermal [100%]","-6.1619","105.9835","approximate","","Banten","South-eastern Asia","Asia","L100000700209","G100000700365","","","https://gem.wiki/Rawa_Dano_geothermal_power_plant"
"421","pre-construction","Indonesia","Rawa Dano geothermal power plant","Future units","55.0","unknown type","2026.0","PT Sintesa Banten Geothermal","PT Sintesa Banten Geothermal [100%]","-6.1619","105.9835","approximate","","Banten","South-eastern Asia","Asia","L100000700209","G100000700366","","","https://gem.wiki/Rawa_Dano_geothermal_power_plant"
"422","operating","Iceland","Reykjanes geothermal power plant","1","50.0","flash steam - single","2006.0","HS Orka","HS Orka [100%]","63.8251","-22.6848","exact","Southern Peninsula","","Northern Europe","Europe","L100000700148","G100000700242","WEPP (S&P Global Platts): 1060108, World Resources Institute: WRI1002806","WEPP (S&P Global Platts): 1188826","https://gem.wiki/Reykjanes_geothermal_power_plant"
"423","operating","Iceland","Reykjanes geothermal power plant","2","50.0","flash steam - single","2006.0","HS Orka","HS Orka [100%]","63.8251","-22.6848","exact","Southern Peninsula","","Northern Europe","Europe","L100000700148","G100000700243","WEPP (S&P Global Platts): 1060108, World Resources Institute: WRI1002806","WEPP (S&P Global Platts): 1188916","https://gem.wiki/Reykjanes_geothermal_power_plant"
"424","operating","Iceland","Reykjanes geothermal power plant","3","30.0","unknown type","2023.0","HS Orka","HS Orka [100%]","63.8251","-22.6848","exact","Southern Peninsula","","Northern Europe","Europe","L100000700148","G100000700244","WEPP (S&P Global Platts): 1060108, World Resources Institute: WRI1002806","WEPP (S&P Global Platts): 1215037","https://gem.wiki/Reykjanes_geothermal_power_plant"
"425","operating","Portugal","Ribeira Grande geothermal power plant","A","5.0","binary cycle","1994.0","EDA Renováveis SA","","37.7833","-25.5006","exact","","São Miguel Island","Southern Europe","Europe","L100000700296","G100000700558","","","https://gem.wiki/Ribeira_Grande_geothermal_power_plant"
"426","operating","Portugal","Ribeira Grande geothermal power plant","B","9.0","binary cycle","1998.0","EDA Renováveis SA","","37.7833","-25.5006","exact","","São Miguel Island","Southern Europe","Europe","L100000700296","G100000700559","","","https://gem.wiki/Ribeira_Grande_geothermal_power_plant"
"427","operating","United States","Richard Burdette geothermal power plant","1","15.0","binary cycle","2005.0","","Ormat Technology INC [100%]","39.3908","-119.7546","exact","","Nevada","Northern America","Americas","L100000700285","G100000700526","EIA: 56321","","https://gem.wiki/Richard_Burdette_geothermal_power_plant"
"428","operating","United States","Richard Burdette geothermal power plant","OEC2","15.0","binary cycle","2005.0","","Ormat Technology INC [100%]","39.3908","-119.7546","exact","","Nevada","Northern America","Americas","L100000700285","G100000700527","EIA: 56321","","https://gem.wiki/Richard_Burdette_geothermal_power_plant"
"429","operating","United States","Ridge Line geothermal plant","2023-07-08 00:00:00","110.0","dry steam","1972.0","Geysers Power Co LLC","Calpine CORP [100%]","38.777","-122.745","exact","","California","Northern America","Americas","L100000700149","G100000700245","WEPP (S&P Global Platts): 29381, EIA: 286, World Resources Institute: USA0000286","WEPP (S&P Global Platts): 7518, WEPP (S&P Global Platts): 7517","https://gem.wiki/Ridge_Line_geothermal_plant"
"430","pre-construction","Dominica","Roseau Valley 2 geothermal power plant","--","120.0","unknown type","2026.0","","Government of Dominica","15.3001","-61.3691","approximate","Saint George","","Latin America and the Caribbean","Americas","L100000700196","G100000700331","","","https://gem.wiki/Roseau_Valley_2_geothermal_power_plant"
"431","construction","Dominica","Roseau Valley geothermal power plant","--","10.0","unknown type","","","","15.3001","-61.3691","approximate","Roseau Valley","","Latin America and the Caribbean","Americas","L100000700197","G100000700332","","","https://gem.wiki/Roseau_Valley_geothermal_power_plant"
"432","operating","New Zealand","Rotokawa I geothermal power plant","--","34.0","binary cycle","2000.0","Mercury NZ LTD","Mighty River Power [50%]; Tauhara North 2 Trust [50%]","-38.6125","176.1932","exact","","Waikato","Australia and New Zealand","Oceania","L100000700150","G100000700246","World Resources Institute: WRI1000325","","https://gem.wiki/Rotokawa_I_geothermal_power_plant"
"433","operating","Türkiye","Salihli JES-3 geothermal power plant","--","30.0","binary cycle","2019.0","","Sanko Enerji SAN TIC AS [100%]","38.4917","28.0887","exact","","","Western Asia","Asia","L100000700152","G100000700248","","","https://gem.wiki/Salihli_JES-3_geothermal_power_plant"
"434","operating","United States","Salton Sea geothermal plant","2.1","12.0","unknown type","1990.0","","CalEnergy Operating CORP [100%]","33.1589","-115.6455","exact","","California","Northern America","Americas","L100000700153","G100000700529","EIA: 10759, World Resources Institute: USA0054996, EIA: 55983, EIA: 10879, World Resources Institute: USA0055983, World Resources Institute: USA0010759, EIA: 10878, EIA: 54996, WEPP (S&P Global Platts): 15308","","https://gem.wiki/Salton_Sea_geothermal_plant"
"435","operating","United States","Salton Sea geothermal plant","2.2","5.0","unknown type","1990.0","","CalEnergy Operating CORP [100%]","33.1589","-115.6455","exact","","California","Northern America","Americas","L100000700153","G100000700530","EIA: 10759, World Resources Institute: USA0054996, EIA: 55983, EIA: 10879, World Resources Institute: USA0055983, World Resources Institute: USA0010759, EIA: 10878, EIA: 54996, WEPP (S&P Global Platts): 15308","","https://gem.wiki/Salton_Sea_geothermal_plant"
"436","operating","United States","Salton Sea geothermal plant","2.3","4.0","unknown type","1990.0","","CalEnergy Operating CORP [100%]","33.1589","-115.6455","exact","","California","Northern America","Americas","L100000700153","G100000700531","EIA: 10759, World Resources Institute: USA0054996, EIA: 55983, EIA: 10879, World Resources Institute: USA0055983, World Resources Institute: USA0010759, EIA: 10878, EIA: 54996, WEPP (S&P Global Platts): 15308","","https://gem.wiki/Salton_Sea_geothermal_plant"
"437","operating","United States","Salton Sea geothermal plant","3","54.0","flash steam - double","1989.0","CalEnergy Operating CORP","CalEnergy Operating CORP [100%]","33.1582","-115.6387","exact","","California","Northern America","Americas","L100000700153","G100000700249","EIA: 10759, World Resources Institute: USA0054996, EIA: 55983, EIA: 10879, World Resources Institute: USA0055983, World Resources Institute: USA0010759, EIA: 10878, EIA: 54996, WEPP (S&P Global Platts): 15308","WEPP (S&P Global Platts): 18607","https://gem.wiki/Salton_Sea_geothermal_plant"
"438","operating","United States","Salton Sea geothermal plant","4","48.0","flash steam - double","1996.0","CalEnergy Operating CORP","CalEnergy Operating CORP [100%]","33.157","-115.6386","exact","","California","Northern America","Americas","L100000700153","G100000700250","EIA: 10759, World Resources Institute: USA0054996, EIA: 55983, EIA: 10879, World Resources Institute: USA0055983, World Resources Institute: USA0010759, EIA: 10878, EIA: 54996, WEPP (S&P Global Platts): 15308","WEPP (S&P Global Platts): 24169","https://gem.wiki/Salton_Sea_geothermal_plant"
"439","operating","United States","Salton Sea geothermal plant","5","58.0","flash steam - double","2000.0","CalEnergy Operating CORP","CalEnergy Operating CORP [100%]","33.1533","-115.6384","exact","","California","Northern America","Americas","L100000700153","G100000700251","EIA: 10759, World Resources Institute: USA0054996, EIA: 55983, EIA: 10879, World Resources Institute: USA0055983, World Resources Institute: USA0010759, EIA: 10878, EIA: 54996, WEPP (S&P Global Platts): 15308","","https://gem.wiki/Salton_Sea_geothermal_plant"
"440","operating","United States","Salton Sea geothermal plant","EE11, 1","10.0","unknown type","1982.0","","CalEnergy Operating CORP [100%]","33.158","-115.6475","exact","","California","Northern America","Americas","L100000700153","G100000700528","EIA: 10759, World Resources Institute: USA0054996, EIA: 55983, EIA: 10879, World Resources Institute: USA0055983, World Resources Institute: USA0010759, EIA: 10878, EIA: 54996, WEPP (S&P Global Platts): 15308","","https://gem.wiki/Salton_Sea_geothermal_plant"
"441","operating","United States","Salt Wells geothermal power plant","101","12.0","binary cycle","2009.0","","Ormat Technology INC","39.2944","-118.5725","exact","","Nevada","Northern America","Americas","L100000700266","G100000700482","EIA: 57213","","https://gem.wiki/Enel_Salt_Wells_geothermal_power_plant"
"442","operating","United States","Salt Wells geothermal power plant","201","12.0","binary cycle","2009.0","","Ormat Technology INC","39.2944","-118.5725","exact","","Nevada","Northern America","Americas","L100000700266","G100000700483","EIA: 57213","","https://gem.wiki/Enel_Salt_Wells_geothermal_power_plant"
"443","operating","United States","San Emidio geothermal power plant","SE-U1","12.0","unknown type","2012.0","","USG Nevada LLC [100%]","40.3806","-119.3997","exact","","Nevada","Northern America","Americas","L100000700286","G100000700532","EIA: 57456","","https://gem.wiki/San_Emidio_geothermal_power_plant"
"444","operating","Nicaragua","San Jacinto - Tizate geothermal power plant","1","36.0","flash steam - single","2013.0","Polaris Energy Nicaragua","Polaris Energy Nicaragua [100%]","12.6088","-86.773","exact","","Leon","Latin America and the Caribbean","Americas","L100000700154","G100000700252","World Resources Institute: GEODB0043607, WEPP (S&P Global Platts): 1019647","WEPP (S&P Global Platts): 1145408","https://gem.wiki/San_Jacinto_-_Tizate_geothermal_power_plant"
"445","operating","Nicaragua","San Jacinto - Tizate geothermal power plant","2","36.0","flash steam - single","2013.0","Polaris Energy Nicaragua","Polaris Energy Nicaragua [100%]","12.6088","-86.773","exact","","Leon","Latin America and the Caribbean","Americas","L100000700154","G100000700253","World Resources Institute: GEODB0043607, WEPP (S&P Global Platts): 1019647","WEPP (S&P Global Platts): 1145409","https://gem.wiki/San_Jacinto_-_Tizate_geothermal_power_plant"
"446","construction","El Salvador","San Vicente geothermal power plant","1","10.0","unknown type","2025.0","LaGeo","LaGeo [100%]","13.6419","-88.7825","approximate","San Vicente","San Vicente","Latin America and the Caribbean","Americas","L100000700155","G100000700254","WEPP (S&P Global Platts): 1012993","WEPP (S&P Global Platts): 1145568","https://gem.wiki/San_Vicente_geothermal_power_plant"
"447","construction","El Salvador","San Vicente geothermal power plant","Expansion","17.0","unknown type","2026.0","","","13.6419","-88.7825","approximate","San Vicente","","Latin America and the Caribbean","Americas","L100000700155","G100000700335","WEPP (S&P Global Platts): 1012993","","https://gem.wiki/San_Vicente_geothermal_power_plant"
"448","shelved","Türkiye","Sarı Zeybek geothermal power plant","--","54.0","unknown type","","","Güriş Holding AS [100%]","37.8472","27.8337","approximate","Efeler","Aydın","Western Asia","Asia","L100000700156","G100000700255","WEPP (S&P Global Platts): 1098185","WEPP (S&P Global Platts): 1253403","https://gem.wiki/Sarı_Zeybek_geothermal_power_plant"
"449","operating","Indonesia","Sarulla geothermal power plant","NIL-1","110.0","unknown type","2017.0","Sarulla Operations LTD","Sarulla Operations LTD [100%]","1.8202","99.0885","exact","","North Sumatra","South-eastern Asia","Asia","L100000700157","G100000700256","WEPP (S&P Global Platts): 1025399","WEPP (S&P Global Platts): 1283794, WEPP (S&P Global Platts): 1146082","https://gem.wiki/Sarulla_geothermal_power_plant"
"450","operating","Indonesia","Sarulla geothermal power plant","NIL-2","110.0","unknown type","2017.0","Sarulla Operations LTD","Sarulla Operations LTD [100%]","1.8202","99.0885","exact","","North Sumatra","South-eastern Asia","Asia","L100000700157","G100000700257","WEPP (S&P Global Platts): 1025399","WEPP (S&P Global Platts): 1146083, WEPP (S&P Global Platts): 1283795","https://gem.wiki/Sarulla_geothermal_power_plant"
"451","operating","Indonesia","Sarulla geothermal power plant","SIL-3","110.0","unknown type","2018.0","Sarulla Operations LTD","Sarulla Operations LTD [100%]","1.8202","99.0885","exact","","North Sumatra","South-eastern Asia","Asia","L100000700157","G100000700258","WEPP (S&P Global Platts): 1025399","WEPP (S&P Global Platts): 1198635, WEPP (S&P Global Platts): 1283796","https://gem.wiki/Sarulla_geothermal_power_plant"
"452","operating","United States","Second Imperial geothermal power plant","GEN13","16.0","binary cycle","2006.0","","ORCAL Geothermal INC [100%]","32.7144","-115.5356","exact","","California","Northern America","Americas","L100000700063","G100000700533","World Resources Institute: USA0054111, EIA: 54111, EIA: 541111","","https://gem.wiki/Second_Imperial_geothermal_power_plant"
"453","operating","United States","Second Imperial geothermal power plant","GEN14","16.0","binary cycle","2008.0","","ORCAL Geothermal INC [100%]","32.7144","-115.5356","exact","","California","Northern America","Americas","L100000700063","G100000700534","World Resources Institute: USA0054111, EIA: 54111, EIA: 541111","","https://gem.wiki/Second_Imperial_geothermal_power_plant"
"454","operating","United States","Second Imperial geothermal power plant","Herber 2, GEN1-12","48.0","binary cycle","1993.0","","Ormat Technology INC [100%]","32.7144","-115.5356","exact","","California","Northern America","Americas","L100000700063","G100000700098","World Resources Institute: USA0054111, EIA: 54111, EIA: 541111","","https://gem.wiki/Second_Imperial_geothermal_power_plant"
"455","operating","United States","Second Imperial geothermal power plant","OEC1","26.0","binary cycle","2022.0","","ORCAL Geothermal INC [100%]","32.7144","-115.5356","exact","","California","Northern America","Americas","L100000700063","G100000700535","World Resources Institute: USA0054111, EIA: 54111, EIA: 541111","","https://gem.wiki/Second_Imperial_geothermal_power_plant"
"456","operating","United States","Second Imperial geothermal power plant","OEC2","16.0","binary cycle","2022.0","","ORCAL Geothermal INC [100%]","32.7144","-115.5356","exact","","California","Northern America","Americas","L100000700063","G100000700536","World Resources Institute: USA0054111, EIA: 54111, EIA: 541111","","https://gem.wiki/Second_Imperial_geothermal_power_plant"
"457","operating","Indonesia","Sibayak geothermal power plant","--","10.0","unknown type","","","Pertamina Geothermal Energy [100%]","3.2266","98.5004","exact","Karo Regency","North Sumatra","South-eastern Asia","Asia","L100000700210","G100000700367","","","https://gem.wiki/Sibayak_geothermal_power_plant"
"458","announced","Türkiye","Simav geothermal power plant","--","25.0","unknown type","","","Zorlu Enerji [100%]","39.4224","29.9889","approximate","","Kütahya","Western Asia","Asia","L100000700248","G100000700455","","","https://gem.wiki/Simav_geothermal_power_plant"
"459","operating","United States","Socrates geothermal plant","18","118.0","dry steam","1983.0","Geysers Power Co LLC","Calpine CORP [100%]","38.777","-122.745","exact","","California","Northern America","Americas","L100000700158","G100000700259","WEPP (S&P Global Platts): 29381, EIA: 286, World Resources Institute: USA0000286","WEPP (S&P Global Platts): 7528","https://gem.wiki/Socrates_geothermal_plant"
"460","operating","United States","Soda Lake 3 geothermal power plant","SL3","26.0","binary cycle","2019.0","","Amor 9 LLC [100%]","39.5545","-118.8501","exact","","Nevada","Northern America","Americas","L100000700287","G100000700537","EIA: 63365","","https://gem.wiki/Soda_Lake_3_geothermal_power_plant"
"461","operating","Indonesia","Sokoria geothermal power plant","1","3.0","unknown type","","PT Sokoria Geothermal Indonesia","","-8.7938","121.7662","exact","","East Nusa Tenggara","South-eastern Asia","Asia","L100000700211","G100000700368","","","https://gem.wiki/Sokoria_geothermal_power_plant"
"462","operating","Indonesia","Sokoria geothermal power plant","2","3.0","unknown type","","PT Sokoria Geothermal Indonesia","","-8.7938","121.7662","exact","","East Nusa Tenggara","South-eastern Asia","Asia","L100000700211","G100000700369","","","https://gem.wiki/Sokoria_geothermal_power_plant"
"463","announced","Indonesia","Songa Wayaua geothermal power plant","1","5.0","unknown type","","","PT PLN (Persero) [100%]","-0.5422","127.5245","approximate","Halmahere Selatan","Maluku Utara","South-eastern Asia","Asia","L100000700212","G100000700370","","","https://gem.wiki/Songa_Wayaua_geothermal_power_plant"
"464","announced","Indonesia","Songa Wayaua geothermal power plant","2","5.0","unknown type","","","PT PLN (Persero) [100%]","-0.5422","127.5245","approximate","Halmahere Selatan","Maluku Utara","South-eastern Asia","Asia","L100000700212","G100000700371","","","https://gem.wiki/Songa_Wayaua_geothermal_power_plant"
"465","operating","United States","Sonoma California Geothermal","1","78.0","dry steam","1983.0","Geysers Power Co LLC","","38.7903","-122.7559","exact","","California","Northern America","Americas","L100000700159","G100000700260","WEPP (S&P Global Platts): 31880, EIA: 510, World Resources Institute: USA0000510","WEPP (S&P Global Platts): 19757","https://gem.wiki/Sonoma_California_Geothermal"
"466","operating","Indonesia","Sorik Marapi geothermal power plant","1","45.0","binary cycle","2019.0","KS Orka Renewables PTE LTD","KS Orka Renewables PTE LTD [100%]","0.7475","99.5751","exact","","North Sumatra","South-eastern Asia","Asia","L100000700160","G100000700261","WEPP (S&P Global Platts): 1081386","WEPP (S&P Global Platts): 1225011","https://gem.wiki/Sorik_Marapi_geothermal_power_plant"
"467","operating","Indonesia","Sorik Marapi geothermal power plant","2","45.0","binary cycle","2021.0","KS Orka Renewables PTE LTD","KS Orka Renewables PTE LTD [100%]","0.7475","99.5751","exact","","North Sumatra","South-eastern Asia","Asia","L100000700160","G100000700262","WEPP (S&P Global Platts): 1081386","WEPP (S&P Global Platts): 1295656","https://gem.wiki/Sorik_Marapi_geothermal_power_plant"
"468","operating","Indonesia","Sorik Marapi geothermal power plant","3","50.0","unknown type","2022.0","KS Orka Renewables PTE LTD","KS Orka Renewables PTE LTD [100%]","0.7475","99.5751","exact","","North Sumatra","South-eastern Asia","Asia","L100000700160","G100000700263","WEPP (S&P Global Platts): 1081386","","https://gem.wiki/Sorik_Marapi_geothermal_power_plant"
"469","operating","Indonesia","Sorik Marapi geothermal power plant","4","50.0","unknown type","2024.0","KS Orka Renewables PTE LTD","KS Orka Renewables PTE LTD [100%]","0.7475","99.5751","exact","","North Sumatra","South-eastern Asia","Asia","L100000700160","G100000700264","WEPP (S&P Global Platts): 1081386","","https://gem.wiki/Sorik_Marapi_geothermal_power_plant"
"470","announced","Indonesia","Sorik Marapi geothermal power plant","5","50.0","unknown type","","KS Orka Renewables PTE LTD","KS Orka Renewables PTE LTD [100%]","0.7475","99.5751","exact","","North Sumatra","South-eastern Asia","Asia","L100000700160","G100000700265","WEPP (S&P Global Platts): 1081386","","https://gem.wiki/Sorik_Marapi_geothermal_power_plant"
"471","pre-construction","Kenya","Sosian Highland geothermal power plant","1","50.0","unknown type","","Sosian Energy","Sosian Energy [100%]","0.3009","36.6878","approximate","","Thome","Sub-Saharan Africa","Africa","L100000700161","G100000700266","","","https://gem.wiki/Sosian_Highland_geothermal_power_plant"
"472","pre-construction","Philippines","Southern Leytre geothermal power plant","--","40.0","unknown type","","","Repower Energy Development CORP [100%]","10.308","125.2022","approximate","","Southern Leyte","South-eastern Asia","Asia","L100000700232","G100000700419","","","https://gem.wiki/Southern_Leytre_geothermal_power_plant"
"473","operating","United States","Star Peak geothermal power plant","3500","4.0","binary cycle","2022.0","","","40.5321","-118.272","exact","","Nevada","Northern America","Americas","L100000700288","G100000700538","EIA: 65773","","https://gem.wiki/Star_Peak_geothermal_power_plant"
"474","operating","United States","Star Peak geothermal power plant","5100A","5.0","binary cycle","2022.0","","","40.5321","-118.272","exact","","Nevada","Northern America","Americas","L100000700288","G100000700540","EIA: 65773","","https://gem.wiki/Star_Peak_geothermal_power_plant"
"475","operating","United States","Star Peak geothermal power plant","5100B","5.0","binary cycle","2022.0","","","40.5321","-118.272","exact","","Nevada","Northern America","Americas","L100000700288","G100000700541","EIA: 65773","","https://gem.wiki/Star_Peak_geothermal_power_plant"
"476","operating","United States","Star Peak geothermal power plant","5200","5.0","binary cycle","2022.0","","","40.5321","-118.272","exact","","Nevada","Northern America","Americas","L100000700288","G100000700539","EIA: 65773","","https://gem.wiki/Star_Peak_geothermal_power_plant"
"477","operating","United States","Star Peak geothermal power plant","STEAM","3.0","binary cycle","2022.0","","","40.5321","-118.272","exact","","Nevada","Northern America","Americas","L100000700288","G100000700542","EIA: 65773","","https://gem.wiki/Star_Peak_geothermal_power_plant"
"478","operating","United States","Steamboat 2 geothermal power plant","T201","9.0","binary cycle","1992.0","","Steamboat Development CORP [100%]","39.3956","-119.7468","exact","","Nevada","Northern America","Americas","L100000700289","G100000700543","EIA: 54665","","https://gem.wiki/Steamboat_2_geothermal_power_plant"
"479","operating","United States","Steamboat 2 geothermal power plant","T202","9.0","binary cycle","1992.0","","Steamboat Development CORP [100%]","39.3956","-119.7468","exact","","Nevada","Northern America","Americas","L100000700289","G100000700544","EIA: 54665","","https://gem.wiki/Steamboat_2_geothermal_power_plant"
"480","operating","United States","Steamboat 3 geothermal power plant","T301","9.0","binary cycle","1992.0","","Steamboat Development CORP [100%]","39.3944","-119.7475","exact","","Nevada","Northern America","Americas","L100000700290","G100000700545","EIA: 54665","","https://gem.wiki/Steamboat_3_geothermal_power_plant"
"481","operating","United States","Steamboat 3 geothermal power plant","T302","9.0","binary cycle","1992.0","","Steamboat Development CORP [100%]","39.3944","-119.7475","exact","","Nevada","Northern America","Americas","L100000700290","G100000700546","EIA: 54665","","https://gem.wiki/Steamboat_3_geothermal_power_plant"
"482","operating","United States","Steamboat Hills geothermal power plant","OEC51","26.0","binary cycle","2020.0","","Ormat Technology INC [100%]","39.3701","-119.7669","exact","","Nevada","Northern America","Americas","L100000700291","G100000700547","EIA: 50654","","https://gem.wiki/Steamboat_Hills_geothermal_power_plant"
"483","operating","United States","Steamboat Hills geothermal power plant","OEC52","6.0","binary cycle","2020.0","","Ormat Technology INC [100%]","39.3701","-119.7669","exact","","Nevada","Northern America","Americas","L100000700291","G100000700548","EIA: 50654","","https://gem.wiki/Steamboat_Hills_geothermal_power_plant"
"484","operating","United States","Stillwater Triple Hybrid geothermal plant","--","33.0","binary cycle","","","Ormat Technology INC","39.5475","-118.5554","exact","","Nevada","Northern America","Americas","L100000700162","G100000700267","EIA: 50765, World Resources Institute: USA0050765","","https://gem.wiki/Stillwater_Triple_Hybrid_geothermal_plant"
"485","operating","United States","Sulfur Springs geothermal plant","14","113.0","dry steam","1980.0","Geysers Power Co LLC","Calpine CORP [100%]","38.777","-122.745","exact","","California","Northern America","Americas","L100000700163","G100000700268","WEPP (S&P Global Platts): 29381, EIA: 286, World Resources Institute: USA0000286","WEPP (S&P Global Platts): 7524","https://gem.wiki/Sulfur_Springs_geothermal_plant"
"486","operating","Japan","Sumikawa geothermal power plant","--","50.0","flash steam - single","1995.0","Tohoku Electric Power CO INC","Tohoku Electric Power CO INC [100%]","39.9813","140.7822","exact","","","Eastern Asia","Asia","L100000700164","G100000700269","World Resources Institute: WRI1020125, WEPP (S&P Global Platts): 1031541","WEPP (S&P Global Platts): 1150381","https://gem.wiki/Sumikawa_geothermal_power_plant"
"487","pre-construction","Indonesia","Sungai Penuh geothermal power plant","1","55.0","unknown type","2025.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-2.0625","101.4076","approximate","Kerinci Regency","Sumatra","South-eastern Asia","Asia","L100000700165","G100000700270","WEPP (S&P Global Platts): 1085776","WEPP (S&P Global Platts): 1232494","https://gem.wiki/Sungai_Penuh_geothermal_power_plant"
"488","announced","Indonesia","Sungai Penuh geothermal power plant","2","55.0","unknown type","2025.0","Pertamina Geothermal Energy","Pertamina Geothermal Energy [100%]","-2.0625","101.4076","approximate","Kerinci Regency","Sumatra","South-eastern Asia","Asia","L100000700165","G100000700271","WEPP (S&P Global Platts): 1085776","WEPP (S&P Global Platts): 1269939","https://gem.wiki/Sungai_Penuh_geothermal_power_plant"
"489","cancelled","United States","Surprise Valley geothermal plant","--","52.0","unknown type","","","Enel Green Power [100%]","39.501","-116.0423","approximate","","Nevada","Northern America","Americas","L100000700166","G100000700272","WEPP (S&P Global Platts): 55267","WEPP (S&P Global Platts): 31875","https://gem.wiki/Surprise_Valley_geothermal_plant"
"490","pre-construction","Kenya","Suswa geothermal power plant","1","50.0","unknown type","2027.0","Geothermal Development Company (GDC)","Geothermal Development Company (GDC) [100%]","-1.1727","36.3471","approximate","","Olesharo","Sub-Saharan Africa","Africa","L100000700167","G100000700273","","","https://gem.wiki/Suswa_geothermal_power_plant"
"491","pre-construction","Kenya","Suswa geothermal power plant","2","50.0","unknown type","","Geothermal Development Company (GDC)","Geothermal Development Company (GDC) [100%]","-1.1727","36.3471","approximate","","Olesharo","Sub-Saharan Africa","Africa","L100000700167","G100000700274","","","https://gem.wiki/Suswa_geothermal_power_plant"
"492","pre-construction","Kenya","Suswa geothermal power plant","3","50.0","unknown type","","Geothermal Development Company (GDC)","Geothermal Development Company (GDC) [100%]","-1.1727","36.3471","approximate","","Olesharo","Sub-Saharan Africa","Africa","L100000700167","G100000700275","","","https://gem.wiki/Suswa_geothermal_power_plant"
"493","pre-construction","Kenya","Suswa geothermal power plant","4","50.0","unknown type","","Geothermal Development Company (GDC)","Geothermal Development Company (GDC)","-1.1727","36.3471","approximate","","Olesharo","Sub-Saharan Africa","Africa","L100000700167","G100001005188","","","https://gem.wiki/Suswa_geothermal_power_plant"
"494","operating","Iceland","Svartsengi geothermal power plant","5","30.0","flash steam - single","2000.0","HS Orka","HS Orka [100%]","63.8788","-22.4332","exact","Southern Peninsula","","Northern Europe","Europe","L100000700168","G100000700276","WEPP (S&P Global Platts): 1030525, World Resources Institute: WRI1002810","WEPP (S&P Global Platts): 1168628","https://gem.wiki/Svartsengi_geothermal_power_plant"
"495","operating","Iceland","Svartsengi geothermal power plant","6","30.0","flash steam - single","2008.0","HS Orka","HS Orka [100%]","63.8788","-22.4332","exact","Southern Peninsula","","Northern Europe","Europe","L100000700168","G100000700277","WEPP (S&P Global Platts): 1030525, World Resources Institute: WRI1002810","WEPP (S&P Global Platts): 1197177","https://gem.wiki/Svartsengi_geothermal_power_plant"
"496","construction","Iceland","Svartsengi geothermal power plant","7","22.0","flash steam - unknown","","HS Orka","HS Orka [100%]","63.8788","-22.4332","exact","Southern Peninsula","","Northern Europe","Europe","L100000700168","G100000700338","WEPP (S&P Global Platts): 1030525, World Resources Institute: WRI1002810","","https://gem.wiki/Svartsengi_geothermal_power_plant"
"497","pre-construction","New Zealand","Taheke geothermal power plant","--","35.0","unknown type","2026.0","","Eastland Generation; Proprietors of Taheke 8C & Adjoining Blocks Inc","-41.7954919639786","172.82779149090638","approximate","","","Australia and New Zealand","Oceania","L100001004538","G100001005325","","","https://www.gem.wiki/Taheke_geothermal_power_plant"
"498","operating","Philippines","Tanawon geothermal power plant","--","20.0","flash steam - unknown","2024.0","","","13.028163293475243","123.9194166337236","approximate","","Sorsogon","South-eastern Asia","Asia","L100000700169","G100000700278","WEPP (S&P Global Platts): 1055717","WEPP (S&P Global Platts): 1182327","https://gem.wiki/Tanawon_geothermal_power_plant"
"499","pre-construction","Indonesia","Tangkuban Perahu Ciater geothermal power plant","1","55.0","unknown type","","","PT PLN (Persero) [100%]","-6.7367","107.6705","approximate","Subang","West Java","South-eastern Asia","Asia","L100000700213","G100000700372","","","https://gem.wiki/Tangkuban_Perahu_Ciater_geothermal_power_plant"
"500","pre-construction","Indonesia","Tangkuban Perahu Ciater geothermal power plant","2","55.0","unknown type","","","PT PLN (Persero) [100%]","-6.7367","107.6705","approximate","Subang","West Java","South-eastern Asia","Asia","L100000700213","G100000700373","","","https://gem.wiki/Tangkuban_Perahu_Ciater_geothermal_power_plant"
